user_id,item_id,action_id
84636,360,1
21217,9635,1
13445,8590,1
38450,5585,1
14160,2383,0
85736,6264,1
38703,9080,2
44579,1467,1
90245,3168,1
13697,7716,0
49698,2405,1
27767,7415,1
34030,3136,1
52811,5080,1
90425,96,0
90714,2358,1
20805,4251,1
33205,8060,1
79667,1560,1
24722,5502,1
84349,282,1
2320,5583,0
47484,7067,1
74381,9805,1
7264,2358,1
48535,2202,1
7419,2754,1
33723,5445,1
7419,1180,0
53627,8165,1
9370,5933,1
25643,6836,0
39598,3347,1
64256,3560,1
28752,5482,1
99335,2544,1
34079,7532,1
36673,9802,1
91715,7960,1
70818,7688,1
18829,3345,1
39651,7722,1
90714,6357,1
50589,7941,1
88644,5552,1
83989,9903,0
73820,3432,1
73568,1555,1
75766,2646,1
84747,906,1
26409,3722,0
40614,6195,1
73672,3073,0
90245,2761,1
51271,1267,0
9944,4032,1
73675,3324,1
3595,7983,1
24855,7060,1
20455,9846,1
19813,4139,1
54779,7888,1
10641,96,1
32138,3243,1
27726,7963,1
65677,8694,1
47479,8536,1
3256,9846,0
93070,3521,1
93785,9805,1
49158,7194,1
72617,3129,1
33723,8510,1
82862,98,1
7202,1569,0
94677,8054,1
31999,2236,1
3042,6876,1
92991,3373,1
3468,6390,1
53056,9695,1
48819,8590,0
38032,6388,1
70962,9194,1
40241,7941,1
60897,2922,1
96450,898,1
81268,6432,1
56706,8744,2
99555,9455,1
65199,3864,1
39363,3176,1
15956,8203,1
31383,4984,1
96540,148,1
84127,3146,1
36178,1188,1
78692,5258,1
86139,327,1
4600,2748,0
11615,8104,0
5508,9860,1
16816,5756,1
25643,6447,1
41214,6498,1
39363,2167,1
91779,4843,1
75529,2855,1
36832,4241,1
86635,8035,1
71602,5434,1
86765,7722,0
2593,3722,1
61548,6683,1
79594,7949,1
15786,1284,0
18842,6422,1
1810,343,0
54285,4560,1
78419,7705,1
15956,74,1
241,996,1
83394,3162,0
2152,8054,1
96540,906,0
22522,6567,0
32279,7493,1
96540,4801,1
8304,9240,1
14864,6843,1
33638,7295,1
5029,5726,1
20180,9114,1
7419,7963,0
50035,4951,1
30084,1098,1
47479,7065,1
67692,2551,1
95637,1624,1
46540,9122,1
42903,5585,1
478,5121,1
5116,2676,1
79031,8604,1
53339,8938,1
82900,7138,1
63404,3559,1
35187,2671,1
65717,8415,2
98526,1199,1
85605,1314,1
90997,4949,1
81986,8964,2
55070,7341,0
362,9680,1
96450,8191,1
64189,1915,1
87942,7232,1
38217,5094,0
44995,4796,1
37898,553,1
2604,1802,0
80983,9127,1
27767,2180,1
84349,5929,1
7503,9049,1
5880,252,1
36832,2282,1
89131,1199,1
22405,3912,1
93034,1199,1
15719,3901,0
54692,7764,1
73820,1415,1
90997,143,1
28307,7232,1
88106,7076,1
19757,1679,1
40185,1081,1
21509,7580,1
2320,1711,1
30451,2202,1
56371,906,1
45796,1260,1
26683,7961,1
28561,8486,1
71711,5449,0
1062,7747,1
69560,2035,1
9944,2504,1
95909,7764,0
13246,1081,1
50300,360,1
23492,3674,1
84127,1179,0
30946,36,1
30451,390,1
1939,4780,1
96135,687,0
45958,4920,1
9599,8537,1
96436,972,1
10760,7782,1
66607,844,1
14277,6310,0
99401,9175,0
32154,9733,1
34005,1179,1
65881,4993,1
2707,4951,1
87418,4403,1
47863,2180,1
30084,1260,1
69539,3610,1
24722,9604,0
71790,5867,0
65880,8541,1
11548,8104,0
12407,3997,1
92801,6110,0
39945,1267,0
96983,4359,1
15263,6520,1
56447,500,1
99555,8417,1
96983,6591,1
37907,2417,1
50104,5540,1
14284,8067,1
24065,1560,1
12091,8474,1
44274,3468,1
25262,7652,1
