user_id,item_id,action_id
274623,2863,1
265472,343,1
242779,6009,0
275009,2184,1
268104,3134,2
200581,2282,1
204726,1904,1
248130,7137,2
275393,64,1
261154,2277,1
210011,8282,1
248701,9775,0
268146,5449,1
286338,8310,1
259047,4373,1
243530,5080,1
264832,2010,1
201290,7121,1
296890,2909,1
257255,5156,1
284447,4780,1
290180,6526,1
235546,8114,0
240622,4068,1
233689,399,1
269188,2470,0
202464,2066,2
282969,7785,1
241698,4890,1
224866,9504,1
243537,4482,1
206528,1620,1
278490,8191,0
258719,3917,1
246641,8501,1
266387,166,0
239497,1614,1
252747,1132,1
285927,1276,1
236260,4359,1
244852,4438,1
241789,9802,1
257352,7401,1
268417,8417,1
213771,4549,1
284824,3432,1
217336,4695,0
247305,3771,1
283391,9680,0
215614,8398,1
206833,2909,0
212881,7735,2
223002,6812,0
244082,972,1
289457,8428,1
273001,4476,1
215694,3608,0
277479,313,1
293320,7047,2
257514,1181,0
210011,2202,1
218099,4508,1
243267,2541,1
268627,610,1
234531,1838,0
235839,3154,1
211982,1427,1
238468,5610,1
211483,3815,0
234229,4951,0
283791,7961,1
278847,2421,1
230624,8669,1
252129,1452,1
264855,2909,0
250750,2706,1
244459,9049,1
270080,9771,1
203569,3468,1
296137,6236,1
210300,3942,1
297568,2592,1
211206,6264,1
240414,2109,1
208755,9541,0
204995,252,0
249980,2232,0
243537,1151,1
241698,166,1
274201,6591,1
267796,9568,1
228251,2544,1
247491,5241,1
291279,1814,1
224866,2981,1
279493,8501,1
215694,3281,1
242964,153,1
231518,6424,0
273403,8537,1
253861,1081,1
280433,2219,1
275432,343,1
291286,4397,1
246497,2919,0
277742,2646,1
268104,1371,1
261841,1711,1
218100,4373,1
255479,6520,1
222605,4260,1
238085,9771,1
204374,1780,1
229289,4884,0
275432,3761,0
293316,810,1
220790,8505,1
273403,610,1
235793,9216,1
224083,7047,2
207384,1181,2
211982,1180,2
263721,5358,1
283789,1874,1
267328,7086,1
284905,972,1
240584,4440,1
200722,7946,1
200325,2035,1
292501,8643,1
233290,6246,1
251314,7526,0
228435,1915,1
221533,8541,1
289089,4251,0
291840,7705,1
295359,8528,1
225819,8944,1
223608,7674,1
298935,3771,1
282182,6009,0
251278,5585,0
236147,3540,1
231540,1780,0
200971,7632,0
227682,4993,0
221533,7625,0
221129,9893,1
212750,7041,1
296093,2698,1
232656,5610,1
253834,7076,1
257352,2476,1
257384,8136,1
237605,3737,1
249241,6723,1
289356,7200,1
247952,6388,1
248206,8268,1
214522,5567,1
294429,6694,1
201888,9516,1
200743,4239,1
282621,6698,1
267760,8109,1
260686,4233,1
250750,9778,1
289561,5064,1
282969,4588,1
246373,7688,0
285616,9529,1
294473,1371,1
262480,4073,1
248907,7782,0
209794,8042,1
207436,3162,1
255479,9123,0
233145,7652,1
273403,692,0
232530,2180,1
220887,8944,1
254155,7587,1
234029,365,1
299581,3456,1
289725,6357,1
284292,9771,0
252569,1173,2
244361,1056,0
299616,3432,1
224083,1670,2
232719,8940,1
200983,2645,1
283577,3227,1
219038,8541,1
212109,7067,1
276112,4885,1
236023,7076,1
217906,2381,1
242270,1350,1
287982,8067,1
231038,9297,1
296076,1306,1
244979,3563,1
207064,4804,2
256442,3560,1
236023,2235,1
239966,2202,1
270058,2310,1
284376,8245,1
236126,5876,1
288985,352,1
280709,2120,1
296809,7722,1
290425,601,1
270080,7016,1
298851,5098,1
206970,4889,1
250535,7851,1
297877,7639,1
217741,5704,1
254378,7716,1
290336,7415,1
277203,6843,1
268417,4502,0
216833,4305,1
268385,1938,1
257481,9529,1
217244,1314,1
272565,2660,1
210642,5152,1
279879,5977,1
229020,7639,1
251566,6728,1
210011,7194,0
246164,3025,1
289576,6310,1
229285,9643,1
222191,7949,0
226977,9989,1
201888,7674,1
254127,1874,1
206970,6918,1
234184,6927,1
202597,4993,1
257431,2246,1
277152,5613,1
231211,5057,2
256108,9192,1
207255,606,0
267328,4682,1
233012,5094,0
210618,5450,1
204526,6917,1
263164,3771,1
281634,471,1
279769,2287,1
270092,3559,1
269453,995,0
250750,5241,1
224040,7200,1
239497,6270,0
229106,1013,1
252607,7625,1
278394,3559,1
287448,7793,1
200790,39,0
229226,6310,1
207870,6732,1
220790,1454,0
272071,8679,1
228384,2568,1
267501,6728,0
230531,8823,1
223312,6302,1
281783,2676,1
242774,7888,1
286130,6264,0
250289,5126,1
233717,8111,1
287756,8436,1
236126,5540,1
272712,2592,1
200743,2277,0
210159,2919,1
202464,3761,1
253381,4247,1
208755,9871,1
287447,7494,1
251394,1008,1
283789,7747,0
252255,3681,0
289042,2732,1
266387,4682,1
293586,4241,0
283947,8313,1
252129,7286,1
256623,7060,0
269797,8643,0
245217,3408,0
231367,4984,1
252747,6658,0
225312,1484,1
262480,820,1
261706,8536,1
246497,6424,0
206085,6683,0
265327,6195,0
278778,9068,1
210618,1597,1
267760,9086,1
258852,1939,1
253547,3229,1
200942,4247,1
282969,4445,1
272920,5862,1
286130,8721,1
220878,2238,0
297834,8980,1
246563,143,1
212810,3345,1
261639,7970,1
